LA or CTY,RGN19NM,RGN19CD,GSS_CD,GSS_NM,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar
LA,Yorkshire and The Humber,E12000003,E08000035,Leeds,11,12,15,17,20,29,35,42,53
LA,East Midlands,E12000004,E06000016,Leicester,0,3,5,11,14,19,22,24,32
CTY,East Midlands,E12000004,E10000018,Leicestershire,7,14,17,20,29,43,53,65,80
LA,London,E12000007,E09000023,Lewisham,18,22,39,47,60,67,86,97,114
CTY,East Midlands,E12000004,E10000019,Lincolnshire,4,7,7,9,9,14,20,24,31
LA,North West,E12000002,E08000012,Liverpool,11,12,13,14,18,22,35,41,57
LA,East of England,E12000006,E06000032,Luton,3,3,3,4,5,8,15,19,29
LA,North West,E12000002,E08000003,Manchester,14,18,21,26,28,31,37,41,45
LA,South East,E12000008,E06000035,Medway,4,4,8,11,11,11,15,19,25
LA,London,E12000007,E09000024,Merton,13,34,39,45,56,56,57,84,98
LA,North East,E12000001,E06000002,Middlesbrough,0,0,0,1,1,1,3,7,9
LA,South East,E12000008,E06000042,Milton Keynes,3,4,5,7,7,11,17,25,29
LA,North East,E12000001,E08000021,Newcastle upon Tyne,5,13,19,21,28,34,42,49,58
LA,London,E12000007,E09000025,Newham,17,23,32,42,51,57,70,76,77
CTY,East of England,E12000006,E10000020,Norfolk,3,4,11,17,24,34,35,42,45
LA,Yorkshire and The Humber,E12000003,E06000012,North East Lincolnshire,0,0,0,0,0,1,1,3,3
LA,Yorkshire and The Humber,E12000003,E06000013,North Lincolnshire,1,1,1,1,2,2,3,5,5
LA,South West,E12000009,E06000024,North Somerset,3,4,4,4,5,5,7,21,21
LA,North East,E12000001,E08000022,North Tyneside,3,7,10,12,17,18,18,20,23
CTY,Yorkshire and The Humber,E12000003,E10000023,North Yorkshire,8,11,13,14,16,20,24,30,45
CTY,East Midlands,E12000004,E10000021,Northamptonshire,12,15,16,17,20,21,29,37,43
