Health Board,New cases,Cumulative cases
To be confirmed,1,2
Resident outside Wales,0,3
Swansea Bay,2,49
Aneurin Bevan,28,248
Betsi Cadwaladr,4,19
Cardiff and Vale,12,96
Cwm Taf,2,23
Hywel Dda,11,27
Powys,0,11
Wales,60,478
